name,page,category,tags,url,pageStatus
"Oysters, Fried",171,Mains,,https://archive.org/details/calendarofdinner00neiluoft/page/n176,verified
Oyster Shortcake,57,Sides,,https://archive.org/details/calendarofdinner00neiluoft/page/n62,verified
"Salmon, Baked with Colbert Sauce",52,Mains,,https://archive.org/details/calendarofdinner00neiluoft/page/n57,verified
"Salmon, Boiled",167,Mains,,https://archive.org/details/calendarofdinner00neiluoft/page/n172,verified
Salmon Croquettes,155,Sides,,https://archive.org/details/calendarofdinner00neiluoft/page/n160,verified
Salmon Mold,57,Mains,,https://archive.org/details/calendarofdinner00neiluoft/page/n62,verified
"Salmon, Planked",189,Mains,,https://archive.org/details/calendarofdinner00neiluoft/page/n194,verified
Sardine Canapes,167,Sides,appetizer,https://archive.org/details/calendarofdinner00neiluoft/page/n172,verified
"Shad, Baked",53,Mains,,https://archive.org/details/calendarofdinner00neiluoft/page/n58,verified
"Shad, Planked",170,Mains,,https://archive.org/details/calendarofdinner00neiluoft/page/n175,verified
Scallops,228,Mains,,https://archive.org/details/calendarofdinner00neiluoft/page/n233,verified
"Scallops, Baked in Shells",220,Mains,,https://archive.org/details/calendarofdinner00neiluoft/page/n225,verified
"Smelts, Fried",222,Mains,,https://archive.org/details/calendarofdinner00neiluoft/page/n227,verified
"Smelts, Planked",207,Mains,,https://archive.org/details/calendarofdinner00neiluoft/page/n212,verified
Apple Fritters,78,Desserts,,https://archive.org/details/calendarofdinner00neiluoft/page/n83,verified
Apricot Fritters,172,Desserts,,https://archive.org/details/calendarofdinner00neiluoft/page/n177,verified
Anchovy Fritters,157,Sides,,https://archive.org/details/calendarofdinner00neiluoft/page/n162,verified
Carrot Fritters,175,Sides,,https://archive.org/details/calendarofdinner00neiluoft/page/n180,verified
Corn Fritters,68,Sides,,https://archive.org/details/calendarofdinner00neiluoft/page/n73,verified
French Pancake,199,Breakfast & Brunch,,https://archive.org/details/calendarofdinner00neiluoft/page/n204,verified
Apple Sauce,103,Sauces & Condiments,,https://archive.org/details/calendarofdinner00neiluoft/page/n108,verified
Fruit Pancake,195,Breakfast & Brunch,,https://archive.org/details/calendarofdinner00neiluoft/page/n200,verified
Italian Fritters,222,Sides,,https://archive.org/details/calendarofdinner00neiluoft/page/n227,verified
Salsify Fritters,160,Sides,,https://archive.org/details/calendarofdinner00neiluoft/page/n165,verified
Strawberry Fritters,187,Desserts,,https://archive.org/details/calendarofdinner00neiluoft/page/n192,verified
Waffles,113,Breakfast & Brunch,,https://archive.org/details/calendarofdinner00neiluoft/page/n118,verified
Currant Jelly,224,Preserves & Pickles,,https://archive.org/details/calendarofdinner00neiluoft/page/n229,verified
Apple Sauce,225,Sauces & Condiments,,https://archive.org/details/calendarofdinner00neiluoft/page/n230,verified
Baked Apples,229,Desserts,,https://archive.org/details/calendarofdinner00neiluoft/page/n234,verified
Baked Bananas,181,Desserts,,https://archive.org/details/calendarofdinner00neiluoft/page/n186,verified
"Beef, a la Mode",191,Mains,,https://archive.org/details/calendarofdinner00neiluoft/page/n196,verified
"Beef, Braised Fillet",158,Mains,,https://archive.org/details/calendarofdinner00neiluoft/page/n163,verified
Beef Croquettes,193,Sides,,https://archive.org/details/calendarofdinner00neiluoft/page/n198,verified
"Beef, Fillet",205,Mains,,https://archive.org/details/calendarofdinner00neiluoft/page/n210,verified
Beef Loaf,151,Mains,,https://archive.org/details/calendarofdinner00neiluoft/page/n156,verified
Beef Loaf,186,Mains,,https://archive.org/details/calendarofdinner00neiluoft/page/n191,verified
Beef Olives,200,Mains,,https://archive.org/details/calendarofdinner00neiluoft/page/n205,verified
Beefsteak Pudding,205,Mains,,https://archive.org/details/calendarofdinner00neiluoft/page/n210,verified
Beef Steak and Kidney pie,151,Mains,,https://archive.org/details/calendarofdinner00neiluoft/page/n156,verified
"Brains, Baked",189,Mains,,https://archive.org/details/calendarofdinner00neiluoft/page/n194,verified
"Chops, Breaded",166,Mains,,https://archive.org/details/calendarofdinner00neiluoft/page/n171,verified
"Ham, Baked",209,Mains,,https://archive.org/details/calendarofdinner00neiluoft/page/n214,verified
"Hearts, Baked Stuffed",164,Mains,,https://archive.org/details/calendarofdinner00neiluoft/page/n169,verified
Indian Dry Curry,213,Mains,,https://archive.org/details/calendarofdinner00neiluoft/page/n218,verified
Green Peppers,162,Sides,,https://archive.org/details/calendarofdinner00neiluoft/page/n167,verified
Kidney Omelet,63,Breakfast & Brunch,,https://archive.org/details/calendarofdinner00neiluoft/page/n68,verified
"Lamb, Casserole",218,Mains,,https://archive.org/details/calendarofdinner00neiluoft/page/n223,verified
"Lamb Chops, Broiled",168,Mains,,https://archive.org/details/calendarofdinner00neiluoft/page/n173,verified
"Lamb Chops, Stuffed",221,Mains,,https://archive.org/details/calendarofdinner00neiluoft/page/n226,verified
Peas,180,Sides,,https://archive.org/details/calendarofdinner00neiluoft/page/n185,verified
"Lamb, Salmi",189,Mains,,https://archive.org/details/calendarofdinner00neiluoft/page/n194,verified
"Spring Lamb Steak, a la Minute",173,Mains,,https://archive.org/details/calendarofdinner00neiluoft/page/n178,verified
"Lamb, Tournedos",198,Mains,,https://archive.org/details/calendarofdinner00neiluoft/page/n203,verified
Baked and Bacon,201,Mains,,https://archive.org/details/calendarofdinner00neiluoft/page/n206,verified
Mushrooms,206,Sides,,https://archive.org/details/calendarofdinner00neiluoft/page/n211,verified
"Mutton, Braised Loin",60,Mains,,https://archive.org/details/calendarofdinner00neiluoft/page/n65,verified
Mushrooms,157,Sides,,https://archive.org/details/calendarofdinner00neiluoft/page/n162,verified
"Mutton, Boiled",204,Mains,,https://archive.org/details/calendarofdinner00neiluoft/page/n209,verified
Mutton Cutlets,152,Mains,,https://archive.org/details/calendarofdinner00neiluoft/page/n157,verified
"Mutton, a la Soubise",168,Mains,,https://archive.org/details/calendarofdinner00neiluoft/page/n173,verified
Meat Cakes,63,Mains,,https://archive.org/details/calendarofdinner00neiluoft/page/n68,verified
"Ox Tongue, Braised",176,Mains,,https://archive.org/details/calendarofdinner00neiluoft/page/n181,verified
"Ox Tongue, Curried",61,Mains,,https://archive.org/details/calendarofdinner00neiluoft/page/n66,verified
Tomato,181,Sides,,https://archive.org/details/calendarofdinner00neiluoft/page/n186,verified
"Steak, Beef, Baked",224,Mains,,https://archive.org/details/calendarofdinner00neiluoft/page/n229,verified
"Steak, Flank, Stuffed",200,Mains,,https://archive.org/details/calendarofdinner00neiluoft/page/n205,verified
"Steak, Porterhouse",208,Mains,,https://archive.org/details/calendarofdinner00neiluoft/page/n213,verified
