name,page,guessed_category,confidence
Allamande,306,Uncategorized,0.00
"Baked, in Cream",305,Desserts,0.40
Broiled,305,Mains,0.40
Saut6d,305,Mains,0.40
Under Glass I,306,Uncategorized,0.00
tinder Glass II,307,Uncategorized,0.00
"English, Southdown",214,Uncategorized,0.00
Flavor of,214,Uncategorized,0.00
"Leg, Boiled",217,Uncategorized,0.00
"Leg, Braised",218,Mains,0.40
Minced,564,Mains,0.40
Myosin,191,Uncategorized,0.00
"Saddle of, to Carve",219,Uncategorized,0.00
"Warming over, Ways of",223,Uncategorized,0.00
Neapolitan Baskets,416,Uncategorized,0.00
Noisette Bomb,452,Uncategorized,0.00
Nutmeg,14,Uncategorized,0.00
"Oil, Animal",8,Uncategorized,0.00
"Oils, Essential, where Found",8,Uncategorized,0.00
"Fixed, where Found",8,Uncategorized,0.00
Oleomargarine,8,Uncategorized,0.00
French,107,Uncategorized,0.00
Plain,105,Uncategorized,0.00
Rich,108,Uncategorized,0.00
Robespierre,108,Uncategorized,0.00
Spanish,107,Uncategorized,0.00
Boiled,295,Uncategorized,0.00
French Fried,296,Mains,0.40
Fried,296,Mains,0.40
Glazed,296,Uncategorized,0.00
"Juice, to Extract",596,Uncategorized,0.00
Delicious,454,Uncategorized,0.00
Peel (Candied),547,Uncategorized,0.00
Puffs,395,Uncategorized,0.00
Serving,568,Uncategorized,0.00
Ossein,191,Uncategorized,0.00
"Ox Joints, Braised",211,Mains,0.40
"Oxalic Acid, Care with",600,Uncategorized,0.00
It la Thorndike,569,Uncategorized,0.00
Broiled,183,Mains,0.40
Creamed,182,Desserts,0.40
Fancy Roast,181,Mains,0.40
Fried,184,Mains,0.40
"Fried, Philadelrhia Relish",185,Mains,0.40
Panned,181,Uncategorized,0.00
Roasted,180,Mains,0.40
Sauted,184,Mains,0.40
Savory,182,Uncategorized,0.00
Palm Leaves,477,Uncategorized,0.00
Sweets,536,Uncategorized,0.00
pate k Choux,128,Uncategorized,0.00
Entire Wheat,465,Uncategorized,0.00
Plain,460,Uncategorized,0.00
Puff,460,Uncategorized,0.00
Quality,465,Uncategorized,0.00
Quick,463,Uncategorized,0.00
Quick Puff,463,Uncategorized,0.00
Pastry,460,Uncategorized,0.00
"Bag, to Make",601,Uncategorized,0.00
"Desserts, 475-^79. pate k Choux",148,Uncategorized,0.00
"P&tes, Consonmi6 aux",129,Uncategorized,0.00
Dresden,380,Uncategorized,0.00
Russian,380,Uncategorized,0.00
Patty Shells,462,Uncategorized,0.00
Boiled,297,Uncategorized,0.00
Creamed,298,Desserts,0.40
Crusts,478,Uncategorized,0.00
Brandied,582,Uncategorized,0.00
"Peanuts, Salted",536,Uncategorized,0.00
"Pecans, Salted",536,Uncategorized,0.00
Pectic Acid,7,Uncategorized,0.00
Pectin,7,Uncategorized,0.00
Pectosic Acid,7,Uncategorized,0.00
Cayenne Capsicum,13,Uncategorized,0.00
White,13,Uncategorized,0.00
Peppercorns,13,Uncategorized,0.00
"Piano Keys, to Clean",600,Uncategorized,0.00
Spanish,591,Uncategorized,0.00
Pickling,588,Uncategorized,0.00
Beefsteak,212,Uncategorized,0.00
Chocolate,508,Drinks,0.40
Cottage,212,Uncategorized,0.00
Cream,468,Desserts,0.40
"Cream, I",507,Desserts,0.40
"Cream, II",507,Desserts,0.40
Guatard,469,Uncategorized,0.00
Mock Mince,472,Uncategorized,0.00
Pumpkin,474,Uncategorized,0.00
Washington,507,Uncategorized,0.00
Potted,258,Mains,0.40
"Pigs' Feet, Broiled",238,Mains,0.40
"Feet, Fried",238,Mains,0.40
"Turkish, II",89,Uncategorized,0.00
"Turkish, III",89,Uncategorized,0.00
Russian,90,Uncategorized,0.00
Pimento (Allspice),14,Uncategorized,0.00
Cream,440,Desserts,0.40
Planked Beefsteak,198,Mains,0.40
Broiled or Roasted,258,Mains,0.40
Polish for Hard Wood Floors,600,Uncategorized,0.00
Pop-overs,76,Uncategorized,0.00
Graham,77,Uncategorized,0.00
Roast,236,Mains,0.40
"Portiere Poles, how to Slip Easily",601,Uncategorized,0.00
Potage k la Reine,121,Uncategorized,0.00
Border,311,Uncategorized,0.00
Curls,316,Uncategorized,0.00
Nests,314,Uncategorized,0.00
Anna,313,Uncategorized,0.00
Baked,310,Uncategorized,0.00
Baked in Half Shell,312,Uncategorized,0.00
Boiled,310,Uncategorized,0.00
Brabant,313,Uncategorized,0.00
Chambery,311,Uncategorized,0.00
Chartreuse,320,Uncategorized,0.00
Composition of,309,Uncategorized,0.00
Creamed,319,Desserts,0.40
Delmonico,319,Uncategorized,0.00
Duchess,312,Uncategorized,0.00
Franco nia,312,Uncategorized,0.00
French Fried,315,Mains,0.40
Hashed Brown,319,Mains,0.40
Hongroise,313,Uncategorized,0.00
Lattice,314,Uncategorized,0.00
"Lyonnaise, I",320,Uncategorized,0.00
"Lyonnaise, II",320,Uncategorized,0.00
Maltre d'H6tel,312,Uncategorized,0.00
Mashed,311,Uncategorized,0.00
Oak Hill,320,Uncategorized,0.00
O'Brion,315,Uncategorized,0.00
Persillade,313,Uncategorized,0.00
Riced,310,Uncategorized,0.00
Sauted,320,Mains,0.40
"Shadow, Saratoga Chips",314,Uncategorized,0.00
Shredded,314,Uncategorized,0.00
Somerset Style,315,Uncategorized,0.00
Sweet,310,Uncategorized,0.00
"Sweet, au Gratin",318,Uncategorized,0.00
"Sweet, Baked",317,Uncategorized,0.00
"Sweet, Boiled",317,Uncategorized,0.00
"Sweet, en Brochette",318,Uncategorized,0.00
"Sweet, Georgian Style",318,Uncategorized,0.00
"Sweet, Glazed",318,Uncategorized,0.00
"Sweet, Mashed",317,Uncategorized,0.00
"Sweet, Southern Style",317,Uncategorized,0.00
"Sweet, Warmed over",319,Uncategorized,0.00
White,309,Uncategorized,0.00
Ways of Warming over,261,Uncategorized,0.00
Pralines,543,Uncategorized,0.00
"Preserving, Ways of",26,Uncategorized,0.00
Drying,27,Uncategorized,0.00
Evaporation,27,Uncategorized,0.00
Exclusion of Air,26,Uncategorized,0.00
Freezing,26,Uncategorized,0.00
PickHng,27,Uncategorized,0.00
Refrigeration,26,Uncategorized,0.00
Salting,27,Uncategorized,0.00
Smoking,27,Uncategorized,0.00
Sugar,26,Uncategorized,0.00
Almond FiUing,516,Uncategorized,0.00
Whip,414,Uncategorized,0.00
Amber,422,Uncategorized,0.00
Bangor,394,Uncategorized,0.00
Cabinet,424,Uncategorized,0.00
Cerealine,390,Uncategorized,0.00
Chocolate,395,Drinks,0.40
"Chocolate, Steamed",400,Drinks,0.40
Cold Cabinet,424,Uncategorized,0.00
Columbian,424,Uncategorized,0.00
Cottage,395,Uncategorized,0.00
Ginger,399,Uncategorized,0.00
Graham,401,Uncategorized,0.00
Harvard,400,Uncategorized,0.00
Hunter's,403,Uncategorized,0.00
Indian,390,Uncategorized,0.00
Mock Indian,394,Uncategorized,0.00
Nesselrode,453,Uncategorized,0.00
Poor Man's,390,Uncategorized,0.00
Rebecca,411,Uncategorized,0.00
Royal Diplomatic,430,Uncategorized,0.00
Snowballs,401,Uncategorized,0.00
Suet,402,Uncategorized,0.00
Swiss,400,Uncategorized,0.00
"Thanksgiving, I",402,Uncategorized,0.00
"Thanksgiving, II",402,Uncategorized,0.00
Tipsy,413,Uncategorized,0.00
"Puffs, Breakfast",77,Uncategorized,0.00
Pumpkins,300,Uncategorized,0.00
Cardinal,440,Uncategorized,0.00
