name,page,guessed_category,confidence
Sugar Cookies.. V Vanilla Snaps W Wafers .... Walnut Filling.. Whipped Cream Cako White Fruit Cake . Wine Sauce,494,Sauces & Condiments,0.85
Brown Betty,502,Uncategorized,0.00
CocoanutPie,500,Uncategorized,0.00
Floating Island,503,Uncategorized,0.00
"Squash Pie .... Suet Pudding, steamed Tapioca Pudding",499,Desserts,0.40
Peel,506,Uncategorized,0.00
Chow-chow,512,Uncategorized,0.00
"Crabapples, preserved",506,Uncategorized,0.00
"M o '.. 507 p Peach Jelly... Pears, brandied.. Pears, canned,.. Pears, pickled,.. Pears, spiced",505,Preserves & Pickles,0.70
"Beverages, Candies, etc. , B Blackberry Cordial.. C",514,Drinks,0.70
