name,page,category,tags,url,pageStatus
Custard pudding,90,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n95,verified
Cocoanut cake,9,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n14,verified
Corn starch cake with fig filling,10,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n15,verified
Chocolate ice cream,29,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n34,verified
Corn starch cake,9,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n14,verified
Chili sauce,81,Sauces & Condiments,,https://archive.org/details/worldsfairrecipe00land/page/n86,verified
Cocoanut pie,85,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n90,verified
Composition cake,9,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n14,verified
Chocolate layer cake,8,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n13,verified
Corn cakes,2,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n7,verified
Coffee cake,9,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n14,verified
Chocolate cake,8,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n13,verified
Caroline cake,8,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n13,verified
Charlotte russe,91,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n96,verified
Canning,101,Preserves & Pickles,,https://archive.org/details/worldsfairrecipe00land/page/n106,verified
Corn starch pudding,91,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n96,verified
Crab apple wine,102,Drinks,,https://archive.org/details/worldsfairrecipe00land/page/n107,verified
Catsup,101,Sauces & Condiments,,https://archive.org/details/worldsfairrecipe00land/page/n106,verified
Croquettes with green peas,100,Sides,,https://archive.org/details/worldsfairrecipe00land/page/n105,verified
Doughnuts,12,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n17,verified
Daisy hill cake,12,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n17,verified
Dayton cake,12,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n17,verified
Dover cake,13,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n18,verified
Dried apple cake,12,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n17,verified
Deviled clams,41,Mains,,https://archive.org/details/worldsfairrecipe00land/page/n46,verified
Delicate cake,12,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n17,verified
Egg rolls,2,Breads,,https://archive.org/details/worldsfairrecipe00land/page/n7,verified
Everton ice cream candy,25,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n30,verified
Fruit pudding,92,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n97,verified
Fruit or berry pudding,92,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n97,verified
Fried tomatoes,33,Sides,,https://archive.org/details/worldsfairrecipe00land/page/n38,verified
Filling for cream puffs,14,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n19,verified
Fricaseed oysters,41,Mains,,https://archive.org/details/worldsfairrecipe00land/page/n46,verified
Frizzled ham,33,Mains,,https://archive.org/details/worldsfairrecipe00land/page/n38,verified
Fruit jelly,30,Preserves & Pickles,,https://archive.org/details/worldsfairrecipe00land/page/n35,verified
Fig cake,13,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n18,verified
Fancy cake,13,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n18,verified
Fruit cake,13,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n18,verified
Green corn patties,15,Sides,,https://archive.org/details/worldsfairrecipe00land/page/n20,verified
Ginger cookies,15,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n20,verified
Grape wine,103,Drinks,,https://archive.org/details/worldsfairrecipe00land/page/n108,verified
Ginger cakes,15,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n20,verified
Graham pudding,93,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n98,verified
Green corn cakes,37,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n42,verified
Green tomato pickles,81,Preserves & Pickles,,https://archive.org/details/worldsfairrecipe00land/page/n86,verified
Gold and silver cake,14,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n19,verified
Ginger cake,15,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n20,verified
Ginger snaps,14,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n19,verified
